Key,EN,ES,DE,FR,IT,PT
details,YES,YES,YES,YES,YES,YES
detailsByArea,YES,YES,YES,YES,YES,YES
developedWithLove,YES,YES,YES,YES,YES,YES
developerInfo,YES,YES,YES,YES,YES,YES
disabled,YES,YES,YES,YES,YES,YES
discoverCompatibility,YES,YES,YES,YES,YES,YES
discoverCosmicMask,YES,YES,YES,YES,YES,YES
discoverUniquePatterns,YES,YES,YES,YES,YES,YES
discoverYourAscendant,YES,YES,YES,YES,YES,YES
displayNameOptional,YES,YES,YES,YES,YES,YES
displaySettings,YES,YES,YES,YES,YES,YES
doCheckIn,YES,YES,YES,YES,YES,YES
done,YES,YES,YES,YES,YES,YES
downloadData,YES,YES,YES,YES,YES,YES
downloadMyData,YES,YES,YES,YES,YES,YES
downloadUpdate,YES,YES,YES,YES,YES,YES
download_now,YES,YES,YES,YES,YES,YES
downloading,YES,YES,YES,YES,YES,YES
earth,YES,YES,YES,YES,YES,YES
earthActivities,YES,YES,YES,YES,YES,YES
earthElementAdvice,YES,YES,YES,YES,YES,YES
earthElementLowFocus,YES,YES,YES,YES,YES,YES
earthEnergyProductive,YES,YES,YES,YES,YES,YES
earthEnergyStable,YES,YES,YES,YES,YES,YES
edit,YES,YES,YES,YES,YES,YES
editBirth,YES,YES,YES,YES,YES,YES
editBirthInformation,YES,YES,YES,YES,YES,YES
editProfile,YES,YES,YES,YES,YES,YES
effects,YES,YES,YES,YES,YES,YES
element,YES,YES,YES,YES,YES,YES
elementalAnalysis,YES,YES,YES,YES,YES,YES
email,YES,YES,YES,YES,YES,YES
emailSupport,YES,YES,YES,YES,YES,YES
emotionalPatternsHealthyVariation,YES,YES,YES,YES,YES,YES
emotionalPatternsSignificantVariation,YES,YES,YES,YES,YES,YES
emotionalPatternsVeryStable,YES,YES,YES,YES,YES,YES
enableNotificationPermission,YES,YES,YES,YES,YES,YES
enabled,YES,YES,YES,YES,YES,YES
endUserLicenseAgreement,YES,YES,YES,YES,YES,YES
energiesOfTheDay,YES,YES,YES,YES,YES,YES
energy,YES,YES,YES,YES,YES,YES
english,YES,YES,YES,YES,YES,YES
enjoyAllExclusiveFeatures,YES,YES,YES,YES,YES,YES
enjoyExclusiveFeatures,YES,YES,YES,YES,YES,YES
enjoyingAllFeatures,YES,YES,YES,YES,YES,YES
enterYourEmailAddress,YES,YES,YES,YES,YES,YES
enterYourPassword,YES,YES,YES,YES,YES,YES
entrykeyEntryvalue,YES,YES,YES,YES,YES,YES
error,YES,YES,YES,YES,YES,YES
errorActivatingPremium,YES,YES,YES,YES,YES,YES
errorAlActivarPruebaGratuitaE,YES,YES,YES,YES,YES,YES
errorAlRestaurarComprasE,YES,YES,YES,YES,YES,YES
errorGenerandoPdfE,YES,YES,YES,YES,YES,YES
errorInitiatingPurchase,YES,YES,YES,YES,YES,YES
errorLoadingHoroscope,YES,YES,YES,YES,YES,YES
errorLoadingProducts,YES,YES,YES,YES,YES,YES
errorProcessingSuccessfulPurchase,YES,YES,YES,YES,YES,YES
errorRestoringPurchases,YES,YES,YES,YES,YES,YES
errorSelectingLanguagePleaseTryAgain,YES,YES,YES,YES,YES,YES
evening,YES,YES,YES,YES,YES,YES
excellent,YES,YES,YES,YES,YES,YES
excellentCompatibility,YES,YES,YES,YES,YES,YES
excellentConcentrationCapacity,YES,YES,YES,YES,YES,YES
excellentConnection,YES,YES,YES,YES,YES,YES
exclusiveFeatures,YES,YES,YES,YES,YES,YES
exit,YES,YES,YES,YES,YES,YES
expert,YES,YES,YES,YES,YES,YES
explore,YES,YES,YES,YES,YES,YES
exploringEnergy,YES,YES,YES,YES,YES,YES
exploringYourEnergy,YES,YES,YES,YES,YES,YES
exportData,YES,YES,YES,YES,YES,YES
exportDataSummary,YES,YES,YES,YES,YES,YES
exportFailed,YES,YES,YES,YES,YES,YES
exportReady,YES,YES,YES,YES,YES,YES
exportSummary,YES,YES,YES,YES,YES,YES
exportYourAccountData,YES,YES,YES,YES,YES,YES
extendedProgressTracking,YES,YES,YES,YES,YES,YES
extendedProgressTrackingText,YES,YES,YES,YES,YES,YES
failed,YES,YES,YES,YES,YES,YES
failedToGetCurrentLocationE,YES,YES,YES,YES,YES,YES
failedToLoadDataE,YES,YES,YES,YES,YES,YES
failedToSaveSettingsPleaseTryAgain,YES,YES,YES,YES,YES,YES
failedToSendTestNotification,YES,YES,YES,YES,YES,YES
failedToSubmitVerificationPleaseTryAgain,YES,YES,YES,YES,YES,YES
fair,YES,YES,YES,YES,YES,YES
family,YES,YES,YES,YES,YES,YES
faq,YES,YES,YES,YES,YES,YES
faqAndTutorials,YES,YES,YES,YES,YES,YES
feature1,YES,YES,YES,YES,YES,YES
feature10,YES,YES,YES,YES,YES,YES
feature11,YES,YES,YES,YES,YES,YES
feature12,YES,YES,YES,YES,YES,YES
feature13,YES,YES,YES,YES,YES,YES
feature14,YES,YES,YES,YES,YES,YES
feature15,YES,YES,YES,YES,YES,YES
feature2,YES,YES,YES,YES,YES,YES
feature3,YES,YES,YES,YES,YES,YES
feature4,YES,YES,YES,YES,YES,YES
feature5,YES,YES,YES,YES,YES,YES
feature6,YES,YES,YES,YES,YES,YES
feature7,YES,YES,YES,YES,YES,YES
feature8,YES,YES,YES,YES,YES,YES
feature9,YES,YES,YES,YES,YES,YES
featureAIInsights10,YES,YES,YES,YES,YES,YES
featureAdFree,YES,YES,YES,YES,YES,YES
featureAdvancedCompatibility,YES,YES,YES,YES,YES,YES
featureAllCosmicIncluded,YES,YES,YES,YES,YES,YES
featureCrisisAI,YES,YES,YES,YES,YES,YES
featureDetailedForecasts,YES,YES,YES,YES,YES,YES
featureFullCompatibility,YES,YES,YES,YES,YES,YES
featureFutureUpdates,YES,YES,YES,YES,YES,YES
featureHighPriorityAI,YES,YES,YES,YES,YES,YES
featureLifetimeAccess,YES,YES,YES,YES,YES,YES
featureNoRecurring,YES,YES,YES,YES,YES,YES
featurePDFExport,YES,YES,YES,YES,YES,YES
featurePredictionsDashboard,YES,YES,YES,YES,YES,YES
featurePremiumTiming,YES,YES,YES,YES,YES,YES
featurePriorityContent,YES,YES,YES,YES,YES,YES
featurePrioritySupport,YES,YES,YES,YES,YES,YES
featureUnlimitedAI,YES,YES,YES,YES,YES,YES
featureUnlimitedCoaching,YES,YES,YES,YES,YES,YES
features,YES,YES,YES,YES,YES,YES
february,YES,YES,YES,YES,YES,YES
feedback,YES,YES,YES,YES,YES,YES
feedbackMessage,YES,YES,YES,YES,YES,YES
fileFormat,YES,YES,YES,YES,YES,YES
fileSelected,YES,YES,YES,YES,YES,YES
filter,YES,YES,YES,YES,YES,YES
finance,YES,YES,YES,YES,YES,YES
finance_Capricorn,YES,YES,YES,YES,YES,YES
finance_Taurus,YES,YES,YES,YES,YES,YES
finish,YES,YES,YES,YES,YES,YES
fire,YES,YES,YES,YES,YES,YES
fireActivities,YES,YES,YES,YES,YES,YES
fireElementAdvice,YES,YES,YES,YES,YES,YES
fireElementLowEnergy,YES,YES,YES,YES,YES,YES
fireEnergyMorning,YES,YES,YES,YES,YES,YES
fireEnergySustained,YES,YES,YES,YES,YES,YES
firstImpression,YES,YES,YES,YES,YES,YES
firstQuarter,YES,YES,YES,YES,YES,YES
firstSign,YES,YES,YES,YES,YES,YES
fitness,YES,YES,YES,YES,YES,YES
fitness_Aries,YES,YES,YES,YES,YES,YES
fixed,YES,YES,YES,YES,YES,YES
fixedActivities,YES,YES,YES,YES,YES,YES
fixedModalityHigh,YES,YES,YES,YES,YES,YES
fixedNatureAdvice,YES,YES,YES,YES,YES,YES
focus,YES,YES,YES,YES,YES,YES
focusActivities,YES,YES,YES,YES,YES,YES
focusConsistencyKeyAreas,YES,YES,YES,YES,YES,YES
focusImprovingConsistently,YES,YES,YES,YES,YES,YES
followUs,YES,YES,YES,YES,YES,YES
fontSize,YES,YES,YES,YES,YES,YES
fontStyle,YES,YES,YES,YES,YES,YES
freeSpace,YES,YES,YES,YES,YES,YES
freeTrial,YES,YES,YES,YES,YES,YES
freeUser,YES,YES,YES,YES,YES,YES
freeVersion,YES,YES,YES,YES,YES,YES
french,YES,YES,YES,YES,YES,YES
friday,YES,YES,YES,YES,YES,YES
fridayShort,YES,YES,YES,YES,YES,YES
friendship,YES,YES,YES,YES,YES,YES
friendshipCompatibility,YES,YES,YES,YES,YES,YES
friendships,YES,YES,YES,YES,YES,YES
fullAccessToAllFeatures,YES,YES,YES,YES,YES,YES
fullMoon,YES,YES,YES,YES,YES,YES
fullMoonAdvice,YES,YES,YES,YES,YES,YES
fullMoonPhase,YES,YES,YES,YES,YES,YES
fullUserControl,YES,YES,YES,YES,YES,YES
fullVersionAvailable,YES,YES,YES,YES,YES,YES
gdprAcceptAll,YES,YES,YES,YES,YES,YES
gdprAcceptSelected,YES,YES,YES,YES,YES,YES
gdprAnalyticsDescription,YES,YES,YES,YES,YES,YES
gdprAnalyticsTitle,YES,YES,YES,YES,YES,YES
gdprConsentDescription,YES,YES,YES,YES,YES,YES
gdprConsentExpired,YES,YES,YES,YES,YES,YES
gdprConsentRequired,YES,YES,YES,YES,YES,YES
gdprConsentSubtitle,YES,YES,YES,YES,YES,YES
gdprConsentTitle,YES,YES,YES,YES,YES,YES
gdprConsentUpdated,YES,YES,YES,YES,YES,YES
gdprConsentWithdrawn,YES,YES,YES,YES,YES,YES
gdprContactForRights,YES,YES,YES,YES,YES,YES
gdprDataBirthInfo,YES,YES,YES,YES,YES,YES
gdprDataDeleted,YES,YES,YES,YES,YES,YES
gdprDataDevice,YES,YES,YES,YES,YES,YES
gdprDataExported,YES,YES,YES,YES,YES,YES
gdprDataPreferences,YES,YES,YES,YES,YES,YES
gdprDataTypes,YES,YES,YES,YES,YES,YES
gdprDataUsage,YES,YES,YES,YES,YES,YES
gdprDeclineAll,YES,YES,YES,YES,YES,YES
gdprEssentialDescription,YES,YES,YES,YES,YES,YES
gdprEssentialTitle,YES,YES,YES,YES,YES,YES
gdprLearnMore,YES,YES,YES,YES,YES,YES
gdprManagePreferences,YES,YES,YES,YES,YES,YES
gdprMarketingDescription,YES,YES,YES,YES,YES,YES
gdprMarketingTitle,YES,YES,YES,YES,YES,YES
gdprPersonalizationDescription,YES,YES,YES,YES,YES,YES
gdprPersonalizationTitle,YES,YES,YES,YES,YES,YES
gdprRightAccess,YES,YES,YES,YES,YES,YES
gdprRightErase,YES,YES,YES,YES,YES,YES
gdprRightPortability,YES,YES,YES,YES,YES,YES
gdprRightRectify,YES,YES,YES,YES,YES,YES
gdprRightWithdraw,YES,YES,YES,YES,YES,YES
gdprThirdPartyDescription,YES,YES,YES,YES,YES,YES
gdprThirdPartyTitle,YES,YES,YES,YES,YES,YES
gdprYourRights,YES,YES,YES,YES,YES,YES
gemini,YES,YES,YES,YES,YES,YES
geminiDescription,YES,YES,YES,YES,YES,YES
generalCompatibility,YES,YES,YES,YES,YES,YES
generateProfessionalReports,YES,YES,YES,YES,YES,YES
generate_button,YES,YES,YES,YES,YES,YES
generating,YES,YES,YES,YES,YES,YES
gentleBell,YES,YES,YES,YES,YES,YES
gentlePulse,YES,YES,YES,YES,YES,YES
german,YES,YES,YES,YES,YES,YES
getAdvancedInsights,YES,YES,YES,YES,YES,YES
getZodiacDescription,YES,YES,YES,YES,YES,YES
getZodiacSignName,YES,YES,YES,YES,YES,YES
gettingStarted,YES,YES,YES,YES,YES,YES
goToSettings,YES,YES,YES,YES,YES,YES
goal_completed_success,YES,YES,YES,YES,YES,YES
goals_empty_state,YES,YES,YES,YES,YES,YES
good,YES,YES,YES,YES,YES,YES
goodCompatibility,YES,YES,YES,YES,YES,YES
graphics,YES,YES,YES,YES,YES,YES
grid,YES,YES,YES,YES,YES,YES
growth,YES,YES,YES,YES,YES,YES
growth_Aquarius,YES,YES,YES,YES,YES,YES
growth_Scorpio,YES,YES,YES,YES,YES,YES
healing,YES,YES,YES,YES,YES,YES
healing_Scorpio,YES,YES,YES,YES,YES,YES
health,YES,YES,YES,YES,YES,YES
helpCenter,YES,YES,YES,YES,YES,YES
helpMeKnowYouBetter,YES,YES,YES,YES,YES,YES
helpUsImproveApp,YES,YES,YES,YES,YES,YES
highQuality,YES,YES,YES,YES,YES,YES
history,YES,YES,YES,YES,YES,YES
history_verifiedpredictionslength,YES,YES,YES,YES,YES,YES
horoscope,YES,YES,YES,YES,YES,YES
hour,YES,YES,YES,YES,YES,YES
howAccurateAdvice,YES,YES,YES,YES,YES,YES
howIsYourEnergyLevel,YES,YES,YES,YES,YES,YES
howIsYourFocus,YES,YES,YES,YES,YES,YES
howIsYourMood,YES,YES,YES,YES,YES,YES
howShouldWeCallYou,YES,YES,YES,YES,YES,YES
howToUse,YES,YES,YES,YES,YES,YES
howToUseApp,YES,YES,YES,YES,YES,YES
howUsefulWasAdvice,YES,YES,YES,YES,YES,YES
howWeProtect,YES,YES,YES,YES,YES,YES
howWeProtectYourInfo,YES,YES,YES,YES,YES,YES
importComplete,YES,YES,YES,YES,YES,YES
importData,YES,YES,YES,YES,YES,YES
importFailed,YES,YES,YES,YES,YES,YES
improvePerformance,YES,YES,YES,YES,YES,YES
improvement,YES,YES,YES,YES,YES,YES
improvements,YES,YES,YES,YES,YES,YES
includes,YES,YES,YES,YES,YES,YES
inconsistencyDetected,YES,YES,YES,YES,YES,YES
inconsistencyResolved,YES,YES,YES,YES,YES,YES
inconsistencyTitle,YES,YES,YES,YES,YES,YES
info,YES,YES,YES,YES,YES,YES
installComplete,YES,YES,YES,YES,YES,YES
installFailed,YES,YES,YES,YES,YES,YES
install_now,YES,YES,YES,YES,YES,YES
installing,YES,YES,YES,YES,YES,YES
insufficientDataForAnalysis,YES,YES,YES,YES,YES,YES
intermediate,YES,YES,YES,YES,YES,YES
invalidFile,YES,YES,YES,YES,YES,YES
italian,YES,YES,YES,YES,YES,YES
january,YES,YES,YES,YES,YES,YES
july,YES,YES,YES,YES,YES,YES
june,YES,YES,YES,YES,YES,YES
jupiter,YES,YES,YES,YES,YES,YES
jupiterianExpansive,YES,YES,YES,YES,YES,YES
keepCurrentSign,YES,YES,YES,YES,YES,YES
keepMonitoringPatterns,YES,YES,YES,YES,YES,YES
keepTrackingDailyPatterns,YES,YES,YES,YES,YES,YES
keyWords,YES,YES,YES,YES,YES,YES
keywords,YES,YES,YES,YES,YES,YES
knowingYourPatterns,YES,YES,YES,YES,YES,YES
knowledgeLevel,YES,YES,YES,YES,YES,YES
language,YES,YES,YES,YES,YES,YES
languageChanged,YES,YES,YES,YES,YES,YES
languageChangedSuccessfully,YES,YES,YES,YES,YES,YES
languagePreference,YES,YES,YES,YES,YES,YES
lastQuarter,YES,YES,YES,YES,YES,YES
lastSync,YES,YES,YES,YES,YES,YES
leadership,YES,YES,YES,YES,YES,YES
leadership_Leo,YES,YES,YES,YES,YES,YES
learning,YES,YES,YES,YES,YES,YES
learningProgress,YES,YES,YES,YES,YES,YES
learning_Gemini,YES,YES,YES,YES,YES,YES
learning_Sagittarius,YES,YES,YES,YES,YES,YES
legalInformation,YES,YES,YES,YES,YES,YES
leo,YES,YES,YES,YES,YES,YES
leoDescription,YES,YES,YES,YES,YES,YES
libra,YES,YES,YES,YES,YES,YES
libraDescription,YES,YES,YES,YES,YES,YES
licenses,YES,YES,YES,YES,YES,YES
lifePhilosophy,YES,YES,YES,YES,YES,YES
lifetimeAccess,YES,YES,YES,YES,YES,YES
lifetimeDescription,YES,YES,YES,YES,YES,YES
lifetimeDuration,YES,YES,YES,YES,YES,YES
lifetimePlan,YES,YES,YES,YES,YES,YES
lifetimeProductNotAvailable,YES,YES,YES,YES,YES,YES
lightTheme,YES,YES,YES,YES,YES,YES
limited,YES,YES,YES,YES,YES,YES
limitedTo5UsesPerWeek,YES,YES,YES,YES,YES,YES
list,YES,YES,YES,YES,YES,YES
loading,YES,YES,YES,YES,YES,YES
loadingAd,YES,YES,YES,YES,YES,YES
loadingHoroscope,YES,YES,YES,YES,YES,YES
localStorageOnly,YES,YES,YES,YES,YES,YES
longTermPrediction,YES,YES,YES,YES,YES,YES
lookForInstabilityTriggers,YES,YES,YES,YES,YES,YES
love,YES,YES,YES,YES,YES,YES
loveCompatibility,YES,YES,YES,YES,YES,YES
loveLife,YES,YES,YES,YES,YES,YES
lowCompatibility,YES,YES,YES,YES,YES,YES
lowEnergyRecurrent,YES,YES,YES,YES,YES,YES
lowQuality,YES,YES,YES,YES,YES,YES
luckyColor,YES,YES,YES,YES,YES,YES
luckyColors,YES,YES,YES,YES,YES,YES
luckyElements,YES,YES,YES,YES,YES,YES
luckyNumber,YES,YES,YES,YES,YES,YES
luckyNumbers,YES,YES,YES,YES,YES,YES
madeWithLove,YES,YES,YES,YES,YES,YES
maintainCurrentRoutine,YES,YES,YES,YES,YES,YES
manageSubscription,YES,YES,YES,YES,YES,YES
manual,YES,YES,YES,YES,YES,YES
manualSync,YES,YES,YES,YES,YES,YES
march,YES,YES,YES,YES,YES,YES
mars,YES,YES,YES,YES,YES,YES
masteringProfile,YES,YES,YES,YES,YES,YES
masteringYourProfile,YES,YES,YES,YES,YES,YES
may,YES,YES,YES,YES,YES,YES
maybeLater,YES,YES,YES,YES,YES,YES
mediumQuality,YES,YES,YES,YES,YES,YES
mercurialAgile,YES,YES,YES,YES,YES,YES
mercurialReflective,YES,YES,YES,YES,YES,YES
mercury,YES,YES,YES,YES,YES,YES
message,YES,YES,YES,YES,YES,YES
mindfulness,YES,YES,YES,YES,YES,YES
mindfulness_Aries,YES,YES,YES,YES,YES,YES
mindfulness_Pisces,YES,YES,YES,YES,YES,YES
minute,YES,YES,YES,YES,YES,YES
modalAnalysis,YES,YES,YES,YES,YES,YES
moderateCompatibility,YES,YES,YES,YES,YES,YES
monday,YES,YES,YES,YES,YES,YES
mondayShort,YES,YES,YES,YES,YES,YES
money,YES,YES,YES,YES,YES,YES
month,YES,YES,YES,YES,YES,YES
monthly,YES,YES,YES,YES,YES,YES
monthlyDescription,YES,YES,YES,YES,YES,YES
monthlyDuration,YES,YES,YES,YES,YES,YES
monthlyHoroscope,YES,YES,YES,YES,YES,YES
monthlyHoroscopeNotification,YES,YES,YES,YES,YES,YES
monthlyPlan,YES,YES,YES,YES,YES,YES
monthlyPrediction,YES,YES,YES,YES,YES,YES
monthlyProductNotAvailable,YES,YES,YES,YES,YES,YES
monthlySubscription,YES,YES,YES,YES,YES,YES
mood,YES,YES,YES,YES,YES,YES
moodFocusConnection,YES,YES,YES,YES,YES,YES
moodLabel,YES,YES,YES,YES,YES,YES
moodPositiveConstant,YES,YES,YES,YES,YES,YES
moodPositivoConstante,YES,YES,YES,YES,YES,YES
moon,YES,YES,YES,YES,YES,YES
morePrecisePredictions,YES,YES,YES,YES,YES,YES
morning,YES,YES,YES,YES,YES,YES
mostPopular,YES,YES,YES,YES,YES,YES
multiple,YES,YES,YES,YES,YES,YES
mutable,YES,YES,YES,YES,YES,YES
mutableActivities,YES,YES,YES,YES,YES,YES
mutableFlexibilityAdvice,YES,YES,YES,YES,YES,YES
mutableModalityHigh,YES,YES,YES,YES,YES,YES
mute,YES,YES,YES,YES,YES,YES
myHoroscope,YES,YES,YES,YES,YES,YES
myHoroscopeTitle,YES,YES,YES,YES,YES,YES
myPredictions,YES,YES,YES,YES,YES,YES
name,YES,YES,YES,YES,YES,YES
nature,YES,YES,YES,YES,YES,YES
needBirthDateAndTime,YES,YES,YES,YES,YES,YES
neptune,YES,YES,YES,YES,YES,YES
neptunianInspiring,YES,YES,YES,YES,YES,YES
networkError,YES,YES,YES,YES,YES,YES
newAdvice,YES,YES,YES,YES,YES,YES
newFeatures,YES,YES,YES,YES,YES,YES
newItem,YES,YES,YES,YES,YES,YES
newMoon,YES,YES,YES,YES,YES,YES
newMoonAdvice,YES,YES,YES,YES,YES,YES
newMoonPhase,YES,YES,YES,YES,YES,YES
newPrediction,YES,YES,YES,YES,YES,YES
new_version,YES,YES,YES,YES,YES,YES
next,YES,YES,YES,YES,YES,YES
night,YES,YES,YES,YES,YES,YES
no,YES,YES,YES,YES,YES,YES
noActivePredictions,YES,YES,YES,YES,YES,YES
noActivePredictionsSubtitle,YES,YES,YES,YES,YES,YES
noAdvertisements,YES,YES,YES,YES,YES,YES
noCloudSharing,YES,YES,YES,YES,YES,YES
noDataAvailable,YES,YES,YES,YES,YES,YES
noHoroscopeAvailable,YES,YES,YES,YES,YES,YES
noPendingPredictions,YES,YES,YES,YES,YES,YES
noPendingPredictionsSubtitle,YES,YES,YES,YES,YES,YES
noPersonalData,YES,YES,YES,YES,YES,YES
noRecurringCharges,YES,YES,YES,YES,YES,YES
noSelected,YES,YES,YES,YES,YES,YES
noVerifiedPredictions,YES,YES,YES,YES,YES,YES
noVerifiedPredictionsSubtitle,YES,YES,YES,YES,YES,YES
noWeeklyLimits,YES,YES,YES,YES,YES,YES
none,YES,YES,YES,YES,YES,YES
notCalculated,YES,YES,YES,YES,YES,YES
notConfigured,YES,YES,YES,YES,YES,YES
notes,YES,YES,YES,YES,YES,YES
notice,YES,YES,YES,YES,YES,YES
notification,YES,YES,YES,YES,YES,YES
notificationSettings,YES,YES,YES,YES,YES,YES
notificationSettingsSavedSuccessfully,YES,YES,YES,YES,YES,YES
notificationTime,YES,YES,YES,YES,YES,YES
notifications,YES,YES,YES,YES,YES,YES
notificationsDisabled,YES,YES,YES,YES,YES,YES
notificationsEnabled,YES,YES,YES,YES,YES,YES
november,YES,YES,YES,YES,YES,YES
october,YES,YES,YES,YES,YES,YES
off,YES,YES,YES,YES,YES,YES
offline,YES,YES,YES,YES,YES,YES
offlineMode,YES,YES,YES,YES,YES,YES
ok,YES,YES,YES,YES,YES,YES
onKeyword,YES,YES,YES,YES,YES,YES
onboarding8dAnalysisDescription,YES,YES,YES,YES,YES,YES
onboarding8dAnalysisTitle,YES,YES,YES,YES,YES,YES
onboarding8dCompatibilityDescription,YES,YES,YES,YES,YES,YES
onboarding8dCompatibilityName,YES,YES,YES,YES,YES,YES
onboarding8dCompleteDescription,YES,YES,YES,YES,YES,YES
onboarding8dCompleteTitle,YES,YES,YES,YES,YES,YES
onboarding8dDimensionsDescription,YES,YES,YES,YES,YES,YES
onboarding8dDimensionsTitle,YES,YES,YES,YES,YES,YES
onboarding8dToolsDescription,YES,YES,YES,YES,YES,YES
onboarding8dToolsTitle,YES,YES,YES,YES,YES,YES
onboarding8dWelcomeDescription,YES,YES,YES,YES,YES,YES
onboarding8dWelcomeTitle,YES,YES,YES,YES,YES,YES
onboardingAIInsightExample,YES,YES,YES,YES,YES,YES
onboardingAIInsights,YES,YES,YES,YES,YES,YES
onboardingAdvancedAnalytics,YES,YES,YES,YES,YES,YES
onboardingAiCoachDescription,YES,YES,YES,YES,YES,YES
onboardingAiCoachName,YES,YES,YES,YES,YES,YES
onboardingBack,YES,YES,YES,YES,YES,YES
onboardingBasicNavigationDescription,YES,YES,YES,YES,YES,YES
onboardingBasicNavigationName,YES,YES,YES,YES,YES,YES
onboardingCoachCompleteDescription,YES,YES,YES,YES,YES,YES
onboardingCoachCompleteTitle,YES,YES,YES,YES,YES,YES
onboardingCoachGoalsDescription,YES,YES,YES,YES,YES,YES
onboardingCoachGoalsTitle,YES,YES,YES,YES,YES,YES
onboardingCoachInteractionDescription,YES,YES,YES,YES,YES,YES
onboardingCoachInteractionTitle,YES,YES,YES,YES,YES,YES
onboardingCoachIntroDescription,YES,YES,YES,YES,YES,YES
onboardingCoachIntroTitle,YES,YES,YES,YES,YES,YES
onboardingCoachWelcomeDescription,YES,YES,YES,YES,YES,YES
onboardingCoachWelcomeTitle,YES,YES,YES,YES,YES,YES
onboardingContinue,YES,YES,YES,YES,YES,YES
onboardingDashboardChartsDescription,YES,YES,YES,YES,YES,YES
onboardingDashboardChartsTitle,YES,YES,YES,YES,YES,YES
onboardingDashboardCompleteDescription,YES,YES,YES,YES,YES,YES
onboardingDashboardCompleteTitle,YES,YES,YES,YES,YES,YES
onboardingDashboardIntroDescription,YES,YES,YES,YES,YES,YES
onboardingDashboardIntroTitle,YES,YES,YES,YES,YES,YES
onboardingDashboardMetricsDescription,YES,YES,YES,YES,YES,YES
onboardingDashboardMetricsTitle,YES,YES,YES,YES,YES,YES
onboardingDashboardWelcomeDescription,YES,YES,YES,YES,YES,YES
onboardingDashboardWelcomeTitle,YES,YES,YES,YES,YES,YES
onboardingEnergy,YES,YES,YES,YES,YES,YES
onboardingExclusiveFeatures,YES,YES,YES,YES,YES,YES
onboardingFocus,YES,YES,YES,YES,YES,YES
onboardingFreeTrialMessage,YES,YES,YES,YES,YES,YES
onboardingHoroscopeDescription,YES,YES,YES,YES,YES,YES
onboardingHoroscopeTitle,YES,YES,YES,YES,YES,YES
onboardingInsightsDescription,YES,YES,YES,YES,YES,YES
onboardingIntelligentInsights,YES,YES,YES,YES,YES,YES
onboardingJournalingAnalysisDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingAnalysisTitle,YES,YES,YES,YES,YES,YES
onboardingJournalingCompleteDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingCompleteTitle,YES,YES,YES,YES,YES,YES
onboardingJournalingDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingIntroDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingIntroTitle,YES,YES,YES,YES,YES,YES
onboardingJournalingName,YES,YES,YES,YES,YES,YES
onboardingJournalingWelcomeDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingWelcomeTitle,YES,YES,YES,YES,YES,YES
onboardingJournalingWritingDescription,YES,YES,YES,YES,YES,YES
onboardingJournalingWritingTitle,YES,YES,YES,YES,YES,YES
onboardingMainNavDescription,YES,YES,YES,YES,YES,YES
onboardingMainNavTitle,YES,YES,YES,YES,YES,YES
onboardingMetricEnergy,YES,YES,YES,YES,YES,YES
onboardingMetricFocus,YES,YES,YES,YES,YES,YES
onboardingMetricMood,YES,YES,YES,YES,YES,YES
onboardingMood,YES,YES,YES,YES,YES,YES
onboardingPerformanceDescription,YES,YES,YES,YES,YES,YES
onboardingPerformanceName,YES,YES,YES,YES,YES,YES
onboardingPersonalizedAdvice,YES,YES,YES,YES,YES,YES
onboardingPredictiveCompleteDescription,YES,YES,YES,YES,YES,YES
onboardingPredictiveCompleteTitle,YES,YES,YES,YES,YES,YES
onboardingPredictiveDescription,YES,YES,YES,YES,YES,YES
onboardingPredictiveIntroDescription,YES,YES,YES,YES,YES,YES
onboardingPredictiveIntroTitle,YES,YES,YES,YES,YES,YES
onboardingPredictiveName,YES,YES,YES,YES,YES,YES
onboardingPredictivePlanningDescription,YES,YES,YES,YES,YES,YES
onboardingPredictivePlanningTitle,YES,YES,YES,YES,YES,YES
onboardingPredictiveTimelineDescription,YES,YES,YES,YES,YES,YES
onboardingPredictiveTimelineTitle,YES,YES,YES,YES,YES,YES
onboardingPredictiveWelcomeDescription,YES,YES,YES,YES,YES,YES
onboardingPredictiveWelcomeTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumBenefitsDescription,YES,YES,YES,YES,YES,YES
onboardingPremiumBenefitsTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumCompleteDescription,YES,YES,YES,YES,YES,YES
onboardingPremiumCompleteTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumDescription,YES,YES,YES,YES,YES,YES
onboardingPremiumExperience,YES,YES,YES,YES,YES,YES
onboardingPremiumFeaturesDescription,YES,YES,YES,YES,YES,YES
onboardingPremiumFeaturesTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumName,YES,YES,YES,YES,YES,YES
onboardingPremiumShowcaseDescription,YES,YES,YES,YES,YES,YES
onboardingPremiumShowcaseTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumTitle,YES,YES,YES,YES,YES,YES
onboardingPremiumWelcomeDescription,YES,YES,YES,YES,YES,YES
